g233.t1	piggyBac-2_Hmel#piggyBac	39.949	393	228	6	13	404	769	1926	1.31e-87	284
g233.t1	piggyBac-2_SM#piggyBac	34.390	410	240	7	23	419	851	2032	3.11e-67	230
g233.t1	piggyBac-1_LCh#piggyBac	32.219	329	207	5	1	326	1126	2073	3.74e-56	168
g233.t1	piggyBac-1_LCh#piggyBac	41.026	78	46	0	325	402	2067	2300	3.74e-56	70.9
g233.t1	piggyBac-5_SM#piggyBac	31.311	412	254	10	16	408	768	1973	3.53e-55	197
g233.t1	piggyBac-1_SM#piggyBac	35.385	390	221	11	22	399	848	1960	4.09e-51	185
g233.t1	PiggyBac-1_HM#piggyBac	33.957	374	220	9	24	386	1210	2283	9.58e-49	179
g233.t1	piggyBac-1_AAe#piggyBac	30.227	397	253	8	17	403	1621	2769	1.87e-47	176
g233.t1	PiggyBac-5_HM#piggyBac	29.847	392	258	9	2	387	739	1881	2.03e-46	172
g233.t1	piggyBac-21_LMi#piggyBac	31.566	396	237	10	22	402	830	1960	3.54e-46	172
g233.t1	piggyBac-1_DAn#piggyBac	31.405	363	213	10	44	387	1001	2038	1.73e-44	167
g233.t1	piggyBac-1_NV#piggyBac	30.077	389	231	11	18	386	535	1638	3.71e-44	166
g233.t1	piggyBac-2_DBp#piggyBac	29.948	384	232	11	22	387	954	2048	3.25e-43	163
g233.t1	piggyBac-22_SM#piggyBac	33.429	347	209	10	14	352	748	1746	2.04e-41	157
g233.t1	piggyBac-2_DEu#piggyBac	30.203	394	237	12	17	387	1008	2144	6.41e-39	150
g233.t1	piggyBac-6_LVa#piggyBac	29.551	379	222	11	44	403	1249	2307	1.38e-37	147
g233.t1	piggyBac-2_CCri#piggyBac	27.419	434	249	11	17	403	645	1889	2.54e-37	146
g233.t1	piggyBac-4_SM#piggyBac	29.274	427	252	14	6	412	1404	2594	3.75e-37	145
g233.t1	piggyBac-2_NV#piggyBac	26.364	440	264	12	18	418	1227	2483	1.31e-36	144
g233.t1	piggyBac-11_SM#piggyBac	28.401	419	235	17	13	402	409	1557	5.15e-36	141
g233.t1	piggyBac-5_LSal#piggyBac	28.440	327	211	8	53	375	612	1535	7.21e-36	141
g233.t1	piggyBac-4_LVa#piggyBac	29.526	359	219	10	53	403	1963	2961	1.01e-35	141
g233.t1	piggyBac-1_LVa#piggyBac	28.010	407	252	11	13	402	1823	2971	2.74e-35	140
g233.t1	piggyBac-1_Hmel#piggyBac	28.117	377	249	10	7	375	1239	2327	1.55e-34	138
g233.t1	piggyBac-3_DBp#piggyBac	29.321	324	201	7	93	397	760	1704	2.73e-34	137
g233.t1	piggyBac-1_XT#piggyBac	27.711	415	245	11	12	398	1918	3081	4.39e-34	137
g233.t1	piggyBac-5_CCri#piggyBac	26.835	395	253	10	22	387	801	1964	6.04e-34	136
